#xtic	Loaction Index	Active Power Mean	Active Power Variance	Tail Power Mean	Tail Power Variance	Idle Power Mean	Idle Power Variance	Throughput	Num. Handovers	Average RRSI	Var RSSI	Active Power S.D.	Tail Power	SD Idle Power	Vertical HO	Horizontal HO	Total HO
0	16	398	279	152	91	0	48	236.634966704	0	-101	10	16.7	9.54	6.92820323027551	0	0	0
1	17	399	264	149	85	0	44	230.544063625	0	-113	30	16.25	9.22	6.6332495807108	3	1	4
2	1	397	301	149	92	0	45	229.59272415	0	-107	3	17.35	9.59	6.70820393249937	0	1	1
3	7	398	289	149	83	0	45	225.470156035	0	-106	2	17	9.11	6.70820393249937	0	0	0
4	8	397	296	151	85	0	46	225.297494804	0	-104	7	17.2	9.22	6.78232998312527	0	0	0
5	15	396	273	151	89	0	51	223.057008497	0	-94	14	16.52	9.43	7.14142842854285	0	2	2
6	25	397	256	148	84	0	51	222.59482617	0	-108	6	16	9.17	7.14142842854285	0	1	1
7	9	396	287	149	87	0	46	221.951766281	0	-101	3	16.94	9.33	6.78232998312527	0	0	0
8	23	396	247	148	79	0	47	219.552413161	0	-110	5	15.72	8.89	6.85565460040104	0	1	1
9	6	397	276	146	87	0	46	215.879435039	0	-102	8	16.61	9.33	6.78232998312527	0	1	1
10	5	397	299	151	86	0	44	206.736366875	0	-101	4	17.29	9.27	6.6332495807108	0	0	0
11	4	398	356	152	257	0	126	197.732064922	3	-101	5	18.87	16.03	11.2249721603218	0	0	0
12	18	398	477	149	248	0	143	178.508837079	3	-110	6	21.84	15.75	11.9582607431014	3	0	3
13	12	398	281	151	87	0	48	169.017306853	0	-89	3	16.76	9.33	6.92820323027551	0	0	0
14	3	396	298	149	89	0	47	163.404505198	0	-104	8	17.26	9.43	6.85565460040104	0	0	0
15	11	399	277	152	78	0	42	138.292330604	0	-88	5	16.64	8.83	6.48074069840786	0	0	0
16	24	399	492	151	254	0	146	113.366577732	4	-107	7	22.18	15.94	12.0830459735946	0	0	0
17	13	400	289	146	86	0	52	92.7514044678	0	-102	24	17	9.27	7.21110255092798	0	0	0
18	14	399	377	148	229	0	131	92.1437878797	1	-95	17	19.42	15.13	11.4455231422596	0	0	0
19	2	398	468	153	255	0	139	89.26282095	6	-106	5	21.63	15.97	11.7898261225516	0	0	0
20	28	397	264	152	88	0	46	84.0849786866	0	-116	23	16.25	9.38	6.78232998312527	0	5	5
21	22	398	341	150	231	0	129	74.1338452147	1	-108	2	18.47	15.2	11.3578166916005	4	2	6
22	26	399	472	151	263	0	134	69.9148950907	8	-106	13	21.73	16.22	11.5758369027902	0	8	8
23	10	398	354	151	243	0	129	62.1160358462	1	-92	11	18.81	15.59	11.3578166916005	0	1	1
24	19	397	262	151	87	0	46	47.7802471546	0	-111	18	16.19	9.33	6.78232998312527	2	1	3
25	21	398	332	148	235	0	124	41.1398714011	1	-112	14	18.22	15.33	11.13552872566	3	0	3
26	20	399	464	149	252	0	138	32.3556696898	3	-109	9	21.54	15.87	11.7473401244707	0	0	0
27	27	401	453	149	247	0	149	27.9440610545	5	-107	15	21.28	15.72	12.2065556157337	0	0	0
28	29	402	487	148	276	0	167	22.8371088389	17	-106	16	22.07	16.61	12.9228479833201	9	7	16

