rn,itag,lmt,,rn,itag,lmt
0,251,1454089993768128,,10,244,1454101749889990
1,244,1454101749889990,,11,251,1454089993768128
2,244,1454101749889990,,12,251,1454089993768128
3,251,1454089993768128,,13,251,1454089993768128
4,244,1454101749889990,,14,244,1454101749889990
5,251,1454089993768128,,15,251,1454089993768128
6,251,1454089993768128,,16,251,1454089993768128
7,244,1454101749889990,,17,244,1454101749889990
8,251,1454089993768128,,18,251,1454089993768128
9,251,1454089993768128,,19,244,1454101749889990
