#2kb-http 2kb-quic 4kb-http 4kb-quic 8kb-http 8kb-quic 16kb-http 16kb-quic 32kb-http 32kb-quic 64kb-http 64kb-quic 128kb-http 128kb-quic 256kb-http 256kb-quic 512kb-http 512kb-quic
3394303.069470455 322640.0721597046 369938.2351659052 349679.81721813243 366489.40697468945 321694.6895567295 278615.06375534786 278122.726541904 268343.0821379275 270955.4394088204 265905.0468990884 261505.21666147377 273936.87508477666 273384.57961603475 270501.94445775147 271615.8345664141 256881.2282030296 258159.42802118984
3711474.0648299516 383017.4849188069 257617.39969026207 355034.6460003195 385140.3968437119 312194.75310476485 316637.7391650906 278683.799937029 270388.7988673427 282995.9303932171 267436.4690089751 276567.39511429536 244761.3721713905 244384.598111201 228268.89866599906 232176.7589460998 242620.6243032915 245310.11839342755
3477726.213417338 322937.47269156587 335904.0285097741 321905.0596093047 270301.54895228345 270121.5330876013 278180.8740544228 248653.8003773968 251320.03048336363 248508.4799088872 245537.5812208279 244278.59022190864 217596.31405188798 219227.89478368073 251521.90880495255 251938.54313607785 256047.1843833464 260140.69144902797
3445967.14151038 314764.895310307 242642.50369585722 354973.916204308 351094.03641337866 231733.3637048904 274066.00302634866 224591.84387000176 216972.3198964942 224168.66449049365 215455.7459936503 220370.24593148672 252578.4005529483 255160.04059668342 226858.23287816925 232144.4855871801 281091.77044347755 283543.83286006027
3622399.406242468 271260.80439612136 215610.78042030617 306952.66188626783 312356.0461028896 242850.83287554164 248555.17267000093 224736.1519135986 215198.62706974152 225918.35489814132 250649.94467264577 255927.92464399835 258983.2408598894 258988.67081830115 260115.64129562333 270330.737571156 257600.60427741564 260553.8304295538
3467074.598552243 278410.59675456287 331845.4674016403 305394.0665623552 239428.19642912966 277615.0548327883 263069.4875701218 259687.53526157452 251212.84396162024 259774.28126936808 253600.38273124324 259765.30790982032 234943.1654992681 231342.8886077612 271872.93080704234 268163.4181088596 277689.6275506635 278209.23205832444
3419939.997968535 389115.1313532874 400594.57428357424 322029.95000979595 367193.6381693065 289049.3527084207 260473.2164679031 263804.8624422023 264345.2477319635 261938.58329522592 222370.65039376446 236821.3919835701 272633.07188819005 283256.3234132259 279388.4935787441 291280.90277851577 273161.99753793253 273856.7843392877
2127819.643367335 324482.8667552415 258342.81997919883 357635.3017809418 383087.29404815903 287597.6546406809 292235.112090251 264093.0489317535 221429.33838343027 223853.72397250202 285367.7062419638 228920.54032699467 250508.49657072875 248823.03050040477 256636.69200264744 261772.52550208103 281589.1647463302 283172.8030319124
3101369.9877282297 322937.47269156587 239728.69217890067 392546.3510359356 368303.4751558922 252797.44794671948 256727.08081601883 226572.94405285508 222847.52974602746 228993.41420228462 275771.3907824776 297317.87920742534 300947.84009382996 295859.49685966066 252805.44842245305 253592.07074447494 344855.5633366612 343870.23873081896
3537500.089364769 281656.1698261657 230674.5859770535 319378.17479517794 324470.3446489973 253309.98567959588 256858.16339839896 255760.40446591016 292037.04368474544 306356.16956006153 231927.2540364148 236972.83449911117 273944.87709182233 284259.0625273216 260763.26041951182 299549.3050832603 302710.57044507924 302899.398801867
