#sz v, s, m max min
0 1.2920098320275556e+16 113666610.4019802 190176907.37864077 519684008.0 37504652.0
1 1.2682922891199354e+16 112618483.79018141 185584755.70873785 542099617.0 40159992.0
2 1.4540319803272182e+16 120583248.43556082 187608162.3883495 585499539.0 36807093.0
3 1.4586273763858688e+16 120773646.81029835 188780090.22330096 605438475.0 39068338.0
4 1.5539484663997304e+16 124657469.34699623 193138566.7961165 621270988.0 40120212.0
5 1.5661689796547776e+16 125146673.13415797 191043651.4368932 620241078.0 40315403.0
6 1.9023030806341628e+16 137924003.73517886 191063717.37864077 666993935.0 38447391.0
7 1.6445987861466744e+16 128241911.4855465 188024025.00970873 650677552.0 36982965.0
8 1.6350720955805828e+16 127869937.65465684 187453382.6601942 626079072.0 37634133.0
9 1.5506636650425386e+16 124525646.5569458 186886393.6116505 597765897.0 36306518.0
