#sz v, s, m max min
0 1.1737452835629549e+17 342599661.932547 395955539.7378641 1173548835.0 0.0
1 1.1458064502637499e+17 338497629.2773333 401808473.01941746 1259788730.0 0.0
2 1.0216275810461592e+17 319629094.5840443 380455989.61165047 1179283631.0 0.0
3 8.876534683668917e+16 297935138.64042485 366497132.5145631 1027121294.0 0.0
4 9.556756017315618e+16 309140033.27481896 368380150.3106796 1110910926.0 0.0
5 9.076046546154322e+16 301264776.3372665 360597639.6893204 1108126800.0 0.0
6 7.86459914547421e+16 280438926.4255982 372486762.5339806 1128826859.0 0.0
7 7.632194865418742e+16 276264273.21350735 342035029.8737864 1068407821.0 0.0
8 8.167790935804482e+16 285793473.26005334 361727770.407767 1133808954.0 0.0
9 6.548365626351654e+16 255897745.71792644 332906317.6699029 1007182282.0 0.0
